Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals
157015,2019-08-09T19:00:00+00:00,"Michael Oliver, England",Anfield,Liverpool,Liverpool,Norwich,4,1,Home Win,7,5,15,3,11,4,9,11,0,57%,0,0,4,477,387,81%,5,5,12,2,8,4,9,2,5,43%,2,0,4,363,278,77%,0,0
157016,2019-08-10T11:30:00+00:00,"Mike Dean, England",London Stadium,London,West Ham,Manchester City,0,5,Away Win,3,2,5,0,4,1,6,1,2,42%,2,0,4,403,325,81%,9,3,14,2,10,4,13,1,4,58%,2,0,3,547,473,86%,0,0
157017,2019-08-10T14:00:00+00:00,"Kevin Friend, England",Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Sheffield Utd,1,1,Draw,3,7,13,3,7,6,10,3,1,52%,2,0,2,485,384,79%,3,4,8,1,3,5,19,4,1,48%,1,0,2,428,332,78%,0,0
157021,2019-08-10T14:00:00+00:00,"Craig Pawson, England",Vicarage Road,Watford,Watford,Brighton,0,3,Away Win,3,4,11,4,4,7,15,5,0,48%,0,0,1,414,325,79%,3,2,5,0,3,2,11,2,3,52%,1,0,3,442,347,79%,0,0
157018,2019-08-10T14:00:00+00:00,"Graham Scott, England",Turf Moor,Burnley,Burnley,Southampton,3,0,Home Win,4,4,10,2,8,2,6,2,5,46%,0,0,3,332,183,55%,3,5,11,3,5,6,12,7,1,54%,0,0,1,393,249,63%,0,0
157019,2019-08-10T14:00:00+00:00,"Jonathan Moss, England",Selhurst Park,London,Crystal Palace,Everton,0,0,Draw,2,0,6,4,6,0,16,6,4,35%,2,0,2,268,161,60%,3,3,10,4,7,3,14,2,0,65%,3,1,2,500,401,80%,0,0
157022,2019-08-10T16:30:00+00:00,"Chris Kavanagh, England",Tottenham Hotspur Stadium,London,Tottenham,Aston Villa,3,1,Home Win,7,14,31,10,17,14,13,14,1,70%,1,0,3,587,526,90%,4,2,7,1,4,3,9,0,0,30%,0,0,3,256,200,78%,0,0
157023,2019-08-11T13:00:00+00:00,"Martin Atkinson, England",St. James' Park,Newcastle upon Tyne,Newcastle,Arsenal,0,1,Away Win,2,4,9,3,4,5,12,5,1,38%,1,0,1,378,287,76%,2,4,8,2,7,1,7,3,3,62%,3,0,2,616,523,85%,0,0
157020,2019-08-11T13:00:00+00:00,"Andre Marriner, England",King Power Stadium,"Leicester, Leicestershire",Leicester,Wolves,0,0,Draw,1,10,16,5,3,13,3,12,0,70%,0,0,2,665,564,85%,2,4,8,2,5,3,13,3,1,30%,2,0,1,291,202,69%,0,0
157024,2019-08-11T15:30:00+00:00,"Anthony Taylor, England",Old Trafford,Manchester,Manchester United,Chelsea,4,0,Home Win,5,2,11,4,7,4,15,3,2,46%,3,0,7,449,363,81%,7,7,18,4,9,9,13,5,0,54%,4,0,1,523,442,85%,0,0
157025,2019-08-17T11:30:00+00:00,"Mike Dean, England",Emirates Stadium,London,Arsenal,Burnley,2,1,Home Win,9,3,15,3,8,7,13,10,5,67%,2,0,3,529,443,84%,5,9,18,4,13,5,11,7,1,33%,1,0,7,234,151,65%,0,0
157033,2019-08-17T14:00:00+00:00,"Andre Marriner, England",St. Mary's Stadium,"Southampton, Hampshire",Southampton,Liverpool,1,2,Away Win,3,7,14,4,9,5,10,5,4,36%,2,0,4,296,192,65%,6,6,15,3,9,6,6,9,1,64%,1,0,3,530,414,78%,0,0
157029,2019-08-17T14:00:00+00:00,"Lee Mason, England",Goodison Park,Liverpool,Everton,Watford,1,0,Home Win,2,6,12,4,7,5,11,4,3,44%,2,0,2,303,204,67%,2,4,8,2,5,3,11,7,1,56%,3,0,1,388,280,72%,0,0
157027,2019-08-17T14:00:00+00:00,"Anthony Taylor, England",The American Express Community Stadium,"Falmer, East Sussex",Brighton,West Ham,1,1,Draw,4,9,16,3,12,4,11,8,2,57%,0,0,2,497,395,79%,3,4,8,1,4,4,10,6,4,43%,2,0,3,377,276,73%,0,0
157026,2019-08-17T14:00:00+00:00,"Martin Atkinson, England",Villa Park,Birmingham,Aston Villa,Bournemouth,1,2,Away Win,7,9,21,5,11,10,10,10,5,62%,0,0,2,490,402,82%,4,4,12,4,8,4,13,5,2,38%,2,0,6,295,208,71%,0,0
157031,2019-08-17T14:00:00+00:00,"Stuart Attwell, England",Carrow Road,"Norwich, Norfolk",Norwich,Newcastle,3,1,Home Win,8,3,15,4,12,3,9,7,2,63%,1,0,3,603,529,88%,4,7,12,1,10,2,11,5,1,37%,3,0,5,336,271,81%,0,0
