Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Home expected_goals,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Away expected_goals
1208021,2024-08-16T19:00:00+00:00,R. Jones,Old Trafford,Manchester,Manchester United,Fulham,1,0,Home Win,5,7,14,2,7,7,12,7,3,55%,2,0,2,482,408,85%,2.43,2,4,10,4,6,4,10,8,1,45%,3,0,4,384,306,80%,0.44
1208022,2024-08-17T11:30:00+00:00,T. Robinson,Portman Road,"Ipswich, Suffolk",Ipswich,Liverpool,0,2,Away Win,2,2,7,3,5,2,9,2,5,38%,3,0,3,347,272,78%,0.45,5,6,18,7,12,6,18,10,0,62%,1,0,2,570,492,86%,2.65
1208025,2024-08-17T14:00:00+00:00,C. Pawson,St. James' Park,Newcastle upon Tyne,Newcastle,Southampton,1,0,Home Win,1,0,3,2,3,0,15,3,1,22%,2,1,3,181,117,65%,0.25,4,4,19,11,13,6,16,12,2,78%,4,0,0,649,579,89%,1.77
1208023,2024-08-17T14:00:00+00:00,J. Gillett,Emirates Stadium,London,Arsenal,Wolves,2,0,Home Win,6,6,18,6,12,6,17,8,0,53%,2,0,3,420,357,85%,1.24,3,5,9,1,6,3,14,2,1,47%,2,0,4,375,307,82%,0.47
1208024,2024-08-17T14:00:00+00:00,S. Hooper,Goodison Park,Liverpool,Everton,Brighton,0,3,Away Win,1,4,9,4,6,3,8,1,7,38%,1,1,2,344,266,77%,0.45,5,3,10,2,9,1,8,5,1,62%,1,0,1,575,492,86%,1.43
1208026,2024-08-17T14:00:00+00:00,M. Oliver,The City Ground,"Nottingham, Nottinghamshire",Nottingham Forest,Bournemouth,1,1,Draw,8,3,14,3,8,6,17,2,1,53%,1,0,3,503,402,80%,1.30,4,6,13,3,6,7,8,6,4,47%,3,0,7,432,335,78%,1.22
1208027,2024-08-17T16:30:00+00:00,T. Harrington,London Stadium,London,West Ham,Aston Villa,1,2,Away Win,3,7,14,4,11,3,18,5,1,52%,1,0,1,417,352,84%,2.46,3,6,15,6,10,5,11,3,1,48%,2,0,3,394,329,84%,2.03
1208028,2024-08-18T13:00:00+00:00,S. Barrott,Gtech Community Stadium,"Brentford, Middlesex",Brentford,Crystal Palace,2,1,Home Win,5,3,9,1,8,1,6,4,1,46%,1,0,6,403,311,77%,1.59,6,4,14,4,6,8,15,7,3,54%,5,0,3,481,389,81%,1.17
1208029,2024-08-18T15:30:00+00:00,A. Taylor,Stamford Bridge,London,Chelsea,Manchester City,0,2,Away Win,3,3,10,4,6,4,12,4,2,48%,1,0,3,490,436,89%,1.01,5,3,11,3,6,5,9,3,1,52%,1,0,3,535,477,89%,0.77
1208030,2024-08-19T19:00:00+00:00,C. Kavanagh,King Power Stadium,"Leicester, Leicestershire",Leicester,Tottenham,1,1,Draw,3,3,7,1,6,1,11,2,2,30%,1,0,5,275,211,77%,1.05,7,3,15,5,12,3,12,13,1,70%,1,0,2,671,601,90%,1.18
1208033,2024-08-24T11:30:00+00:00,C. Pawson,American Express Stadium,"Falmer, East Sussex",Brighton,Manchester United,2,1,Home Win,5,6,14,3,10,4,9,4,0,48%,1,0,2,477,407,85%,2.09,4,5,11,2,8,3,13,4,6,52%,2,0,2,511,446,87%,1.43
1208035,2024-08-24T14:00:00+00:00,D. Bond,Craven Cottage,London,Fulham,Leicester,2,1,Home Win,6,7,18,5,13,5,14,7,0,54%,2,0,3,538,459,85%,1.78,4,4,10,2,6,4,13,5,5,46%,2,0,4,454,381,84%,0.61
1208038,2024-08-24T14:00:00+00:00,S. Barrott,St. Mary's Stadium,"Southampton, Hampshire",Southampton,Nottingham Forest,0,1,Away Win,1,1,5,3,2,3,14,4,0,65%,3,0,7,656,596,91%,0.14,8,8,23,7,14,9,14,10,1,35%,3,0,1,352,294,84%,2.45
1208039,2024-08-24T14:00:00+00:00,A. Taylor,Tottenham Hotspur Stadium,London,Tottenham,Everton,4,0,Home Win,7,5,13,1,9,4,11,12,0,71%,0,0,1,609,540,89%,2.43,1,3,10,6,10,0,15,5,4,29%,0,0,3,251,188,75%,1.00
1208037,2024-08-24T14:00:00+00:00,S. Allison,Etihad Stadium,Manchester,Manchester City,Ipswich,4,1,Home Win,5,6,14,3,9,5,4,10,3,75%,2,0,0,755,700,93%,3.34,1,0,1,0,0,1,15,1,1,25%,3,0,1,245,200,82%,0.29
1208034,2024-08-24T14:00:00+00:00,R. Jones,Selhurst Park,London,Crystal Palace,West Ham,0,2,Away Win,2,8,14,4,8,6,9,3,3,58%,1,0,1,552,454,82%,1.35,3,10,18,5,13,5,17,3,2,42%,1,0,2,393,302,77%,1.39
1208032,2024-08-24T16:30:00+00:00,M. Oliver,Villa Park,Birmingham,Aston Villa,Arsenal,0,2,Away Win,3,3,11,5,7,4,8,4,3,39%,1,0,2,329,271,82%,1.28,4,4,9,1,5,4,16,1,1,61%,3,0,3,514,469,91%,0.87
1208031,2024-08-25T13:00:00+00:00,D. Coote,Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Newcastle,1,1,Draw,4,7,16,5,11,5,20,8,0,39%,2,0,4,321,245,76%,2.26,5,4,14,5,12,2,8,9,0,61%,2,0,3,495,393,79%,1.69
1208040,2024-08-25T13:00:00+00:00,D. England,Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Chelsea,2,6,Away Win,4,6,12,2,8,4,13,5,3,40%,2,0,2,320,253,79%,1.96,8,3,14,3,10,4,13,5,1,60%,3,0,2,495,426,86%,1.68
1208036,2024-08-25T15:30:00+00:00,S. Attwell,Anfield,Liverpool,Liverpool,Brentford,2,0,Home Win,8,4,19,7,17,2,10,9,1,63%,2,0,2,602,551,92%,2.65,2,3,8,3,4,4,7,4,2,37%,3,0,6,358,294,82%,0.36
1208041,2024-08-31T11:30:00+00:00,C. Kavanagh,Emirates Stadium,London,Arsenal,Brighton,1,1,Draw,7,2,11,2,10,1,12,3,3,36%,5,1,3,270,200,74%,2.08,4,10,22,8,15,7,7,7,1,64%,2,0,6,471,404,86%,1.83
1208044,2024-08-31T14:00:00+00:00,S. Attwell,Goodison Park,Liverpool,Everton,Bournemouth,2,3,Away Win,8,8,18,2,13,5,6,8,2,47%,2,0,4,349,257,74%,1.97,7,5,17,5,12,5,11,4,2,53%,1,0,6,392,300,77%,2.22
1208046,2024-08-31T14:00:00+00:00,D. Coote,King Power Stadium,"Leicester, Leicestershire",Leicester,Aston Villa,1,2,Away Win,3,5,9,1,3,6,13,1,3,58%,4,0,3,513,457,89%,0.45,5,3,10,2,8,2,21,4,1,42%,5,0,2,383,318,83%,1.55
1208042,2024-08-31T14:00:00+00:00,J. Smith,Gtech Community Stadium,"Brentford, Middlesex",Brentford,Southampton,3,1,Home Win,7,7,20,6,15,5,10,2,1,37%,2,0,5,358,310,87%,2.78,6,7,18,5,9,9,7,8,2,63%,1,0,4,621,548,88%,1.57
1208045,2024-08-31T14:00:00+00:00,L. Smith,Portman Road,"Ipswich, Suffolk",Ipswich,Fulham,1,1,Draw,4,3,11,4,6,5,15,8,4,49%,2,0,3,401,345,86%,0.45,4,2,9,3,9,0,15,6,0,51%,3,0,3,418,359,86%,0.95
1208049,2024-08-31T14:00:00+00:00,S. Hooper,The City Ground,"Nottingham, Nottinghamshire",Nottingham Forest,Wolves,1,1,Draw,5,5,16,6,13,3,15,7,4,52%,3,0,1,367,293,80%,1.04,3,6,11,2,4,7,18,3,0,48%,4,0,4,359,279,78%,0.74
1208050,2024-08-31T16:30:00+00:00,M. Oliver,London Stadium,London,West Ham,Manchester City,1,3,Away Win,2,5,10,3,7,3,10,3,0,32%,3,0,5,340,284,84%,0.73,8,10,23,5,19,4,3,11,1,68%,2,0,2,726,670,92%,3.00
1208048,2024-09-01T12:30:00+00:00,R. Jones,St. James' Park,Newcastle upon Tyne,Newcastle,Tottenham,2,1,Home Win,3,3,9,3,6,3,16,7,2,34%,4,0,6,261,183,70%,1.83,6,6,20,8,9,11,13,12,4,66%,4,0,1,500,421,84%,1.26
1208043,2024-09-01T12:30:00+00:00,J. Gillett,Stamford Bridge,London,Chelsea,Crystal Palace,1,1,Draw,7,5,13,1,8,5,9,4,0,63%,4,0,2,590,532,90%,2.37,3,1,9,5,4,5,13,4,1,37%,2,0,6,350,276,79%,0.54
1208047,2024-09-01T15:00:00+00:00,A. Taylor,Old Trafford,Manchester,Manchester United,Liverpool,0,3,Away Win,3,5,8,0,5,3,7,5,0,53%,4,0,0,507,421,83%,1.36,3,7,11,1,10,1,7,2,2,47%,1,0,3,464,391,84%,1.79
1208058,2024-09-14T11:30:00+00:00,S. Attwell,St. Mary's Stadium,"Southampton, Hampshire",Southampton,Manchester United,0,3,Away Win,4,1,6,1,6,0,11,0,0,44%,1,1,7,480,421,88%,1.12,10,3,20,7,11,9,14,7,0,56%,4,0,3,611,556,91%,2.67
1208055,2024-09-14T14:00:00+00:00,T. Robinson,Craven Cottage,London,Fulham,West Ham,1,1,Draw,5,8,21,8,17,4,15,3,3,55%,2,0,2,395,316,80%,1.54,3,5,11,3,7,4,18,2,2,45%,3,0,4,333,258,77%,0.76
1208056,2024-09-14T14:00:00+00:00,M. Oliver,Anfield,Liverpool,Liverpool,Nottingham Forest,0,1,Away Win,5,6,14,3,10,4,15,7,0,69%,4,0,2,604,507,84%,0.94,3,2,5,0,3,2,6,2,5,31%,4,0,5,273,189,69%,0.44
1208057,2024-09-14T14:00:00+00:00,D. Bond,Etihad Stadium,Manchester,Manchester City,Brentford,2,1,Home Win,7,6,18,5,10,8,9,12,1,54%,3,0,5,544,485,89%,2.17,5,2,8,1,6,2,3,3,1,46%,1,0,5,468,398,85%,0.96
1208053,2024-09-14T14:00:00+00:00,S. Barrott,American Express Stadium,"Falmer, East Sussex",Brighton,Ipswich,0,0,Draw,6,5,21,10,10,11,14,9,1,69%,4,0,1,570,490,86%,1.66,1,4,6,1,3,3,16,2,3,31%,3,0,6,261,184,70%,0.35
1208054,2024-09-14T14:00:00+00:00,T. Harrington,Selhurst Park,London,Crystal Palace,Leicester,2,2,Draw,4,6,20,10,16,4,11,5,3,67%,0,0,2,595,503,85%,2.55,4,4,9,1,7,2,15,2,0,33%,3,0,2,293,203,69%,1.23
1208052,2024-09-14T16:30:00+00:00,C. Pawson,Villa Park,Birmingham,Aston Villa,Everton,3,2,Home Win,8,6,17,3,13,4,10,6,1,73%,1,0,0,665,602,91%,2.12,2,3,6,1,5,1,12,2,3,27%,4,0,4,240,182,76%,0.90
1208051,2024-09-14T19:00:00+00:00,A. Taylor,Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Chelsea,0,1,Away Win,7,8,19,4,10,9,16,6,4,33%,6,0,2,277,194,70%,1.78,3,3,10,4,6,4,9,3,3,67%,8,0,7,579,494,85%,0.78
1208059,2024-09-15T13:00:00+00:00,J. Gillett,Tottenham Hotspur Stadium,London,Tottenham,Arsenal,0,1,Away Win,5,4,15,6,10,5,13,7,2,64%,5,0,3,494,437,88%,0.71,4,0,7,3,7,0,10,6,3,36%,3,0,5,282,213,76%,0.74
1208060,2024-09-15T15:30:00+00:00,C. Kavanagh,Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Newcastle,1,2,Away Win,5,5,12,2,10,2,17,4,3,49%,3,0,4,433,362,84%,1.23,6,4,14,4,8,6,6,7,2,51%,3,0,4,471,415,88%,1.52
1208070,2024-09-21T11:30:00+00:00,S. Barrott,London Stadium,London,West Ham,Chelsea,0,3,Away Win,7,3,15,5,8,7,17,6,2,53%,5,0,2,498,444,89%,0.85,5,4,12,3,11,1,9,5,1,47%,2,0,7,454,393,87%,2.19
1208064,2024-09-21T14:00:00+00:00,P. Bankes,Craven Cottage,London,Fulham,Newcastle,3,1,Home Win,11,9,22,2,18,4,16,6,1,39%,6,0,4,344,283,82%,2.29,5,8,16,3,12,4,8,0,6,61%,0,0,8,560,506,90%,1.54
1208066,2024-09-21T14:00:00+00:00,T. Harrington,Anfield,Liverpool,Liverpool,Bournemouth,3,0,Home Win,13,3,19,3,14,5,10,3,0,59%,1,0,7,584,519,89%,2.06,6,9,19,4,12,7,12,9,3,41%,4,0,9,389,332,85%,1.08
1208068,2024-09-21T14:00:00+00:00,S. Allison,St. Mary's Stadium,"Southampton, Hampshire",Southampton,Ipswich,1,1,Draw,3,5,11,3,9,2,16,2,3,54%,4,0,5,492,428,87%,2.49,6,4,13,3,8,5,16,10,1,46%,4,0,2,409,350,86%,1.69
1208065,2024-09-21T14:00:00+00:00,D. England,King Power Stadium,"Leicester, Leicestershire",Leicester,Everton,1,1,Draw,2,7,12,3,10,2,11,6,2,59%,1,0,4,460,389,85%,0.66,5,6,17,6,13,4,12,1,5,41%,2,0,1,335,271,81%,1.10
1208069,2024-09-21T14:00:00+00:00,J. Brooks,Tottenham Hotspur Stadium,London,Tottenham,Brentford,3,1,Home Win,10,3,23,10,19,4,11,9,1,48%,3,0,5,434,355,82%,3.52,6,0,6,0,5,1,9,4,2,52%,1,0,6,489,393,80%,0.80
