Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
710556,2021-08-13 19:00:00+00:00,M. Oliver,Brentford Community Stadium,"Brentford, Middlesex",Brentford,Arsenal,2,0,Home Win,3,5,8,0,7,1,12,2,1,35%,0,0,4,309,201,65%,4,14,22,4,13,9,8,5,1,65%,0,0,1,568,488,86%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710561,2021-08-14 11:30:00+00:00,P. Tierney,Old Trafford,Manchester,Manchester United,Leeds,5,1,Home Win,8,5,16,3,12,4,11,5,2,49%,1,0,2,422,334,79%,3,6,10,1,3,7,9,4,3,51%,2,0,3,438,343,78%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710565,2021-08-14 14:00:00+00:00,M. Dean,Vicarage Road,Watford,Watford,Aston Villa,3,2,Home Win,7,4,13,2,9,4,18,2,0,38%,3,0,0,317,234,74%,2,6,11,3,4,7,13,4,2,62%,1,0,4,508,435,86%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710557,2021-08-14 14:00:00+00:00,D. Coote,Turf Moor,Burnley,Burnley,Brighton,1,2,Away Win,3,8,14,3,8,6,10,7,1,36%,2,0,4,259,181,70%,8,4,14,2,12,2,7,6,0,64%,1,0,2,518,424,82%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710559,2021-08-14 14:00:00+00:00,A. Madley,Goodison Park,Liverpool,Everton,Southampton,3,1,Home Win,6,5,14,3,11,3,13,6,0,48%,2,0,2,337,235,70%,3,1,6,2,5,1,15,8,0,52%,0,0,3,370,256,69%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710560,2021-08-14 14:00:00+00:00,C. Pawson,King Power Stadium,"Leicester, Leicestershire",Leicester,Wolves,1,0,Home Win,5,3,9,1,6,3,6,5,5,56%,1,0,3,584,505,86%,3,7,17,7,12,5,10,4,4,44%,2,0,4,443,366,83%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710558,2021-08-14 14:00:00+00:00,J. Moss,Stamford Bridge,London,Chelsea,Crystal Palace,3,0,Home Win,6,5,13,2,5,8,15,5,0,62%,0,0,1,678,623,92%,1,2,4,1,4,0,11,2,1,38%,0,0,3,423,363,86%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710563,2021-08-14 16:30:00+00:00,A. Marriner,Carrow Road,"Norwich, Norfolk",Norwich,Liverpool,0,3,Away Win,3,8,14,3,9,5,4,3,2,50%,1,0,3,520,441,85%,8,7,19,4,13,6,14,11,0,50%,1,0,3,512,432,84%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710562,2021-08-15 13:00:00+00:00,M. Atkinson,St. James' Park,Newcastle upon Tyne,Newcastle,West Ham,2,4,Away Win,3,7,17,7,9,8,4,7,1,46%,1,0,4,401,340,85%,9,4,18,5,12,6,3,6,2,54%,0,0,1,473,405,86%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710564,2021-08-15 15:30:00+00:00,A. Taylor,Tottenham Hotspur Stadium,London,Tottenham,Manchester City,1,0,Home Win,3,5,13,5,5,8,11,3,3,34%,2,0,4,293,227,77%,4,9,18,5,11,7,8,11,1,66%,1,0,1,548,469,86%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710571,2021-08-21 11:30:00+00:00,M. Dean,Anfield,Liverpool,Liverpool,Burnley,2,0,Home Win,9,10,27,8,21,6,6,8,3,67%,0,0,3,527,434,82%,3,5,9,1,7,2,12,4,7,33%,0,0,6,263,174,66%,0,0,15.0,15.0,0.0,5.0,0.0,0.0,22.5,0.0,5.0,10.0,0.0,0.0,5.0,-2.5
710567,2021-08-21 14:00:00+00:00,D. Coote,Villa Park,Birmingham,Aston Villa,Newcastle,2,0,Home Win,2,7,10,1,6,4,8,3,3,47%,3,0,1,303,238,79%,1,7,9,1,6,3,18,4,2,53%,4,0,0,333,257,77%,0,0,0.0,10.0,15.0,0.0,0.0,5.0,-2.5,0.0,10.0,20.0,0.0,0.0,5.0,-5.0
710570,2021-08-21 14:00:00+00:00,D. England,Elland Road,"Leeds, West Yorkshire",Leeds,Everton,2,2,Draw,4,6,17,7,7,10,6,8,0,70%,2,0,6,606,517,85%,8,5,17,4,9,8,13,5,0,30%,4,0,2,253,168,66%,0,0,0.0,5.0,25.0,0.0,0.0,5.0,-10.0,15.0,15.0,5.0,5.0,0.0,0.0,20.0
710572,2021-08-21 14:00:00+00:00,G. Scott,Etihad Stadium,Manchester,Manchester City,Norwich,5,0,Home Win,4,6,16,6,7,9,13,6,2,67%,1,0,0,730,684,94%,0,1,1,0,1,0,7,1,3,33%,0,0,0,362,307,85%,0,0,0.0,0.0,5.0,0.0,0.0,5.0,-2.5,0.0,0.0,15.0,0.0,0.0,5.0,-7.5
710569,2021-08-21 14:00:00+00:00,M. Atkinson,Selhurst Park,London,Crystal Palace,Brentford,0,0,Draw,2,5,7,0,5,2,12,3,1,53%,3,0,3,431,324,75%,3,7,14,4,8,6,9,5,2,47%,1,0,2,382,270,71%,0,0,0.0,0.0,15.0,0.0,0.0,5.0,-7.5,15.0,10.0,0.0,5.0,0.0,0.0,20.0
710568,2021-08-21 16:30:00+00:00,A. Taylor,The American Express Community Stadium,"Falmer, East Sussex",Brighton,Watford,2,0,Home Win,3,5,13,5,8,5,11,7,1,57%,4,0,1,585,502,86%,1,5,10,4,7,3,6,2,1,43%,0,0,1,441,365,83%,0,0,15.0,10.0,5.0,5.0,0.0,0.0,17.5,15.0,15.0,10.0,5.0,0.0,0.0,17.5
710575,2021-08-22 13:00:00+00:00,S. Attwell,Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Tottenham,0,1,Away Win,6,9,25,10,14,11,9,5,2,58%,1,0,5,470,394,84%,6,0,8,2,7,1,7,4,0,42%,4,0,6,356,284,80%,0,0,0.0,0.0,5.0,0.0,0.0,5.0,-2.5,15.0,5.0,0.0,5.0,0.0,0.0,17.5
710573,2021-08-22 13:00:00+00:00,C. Pawson,St. Mary's Stadium,"Southampton, Hampshire",Southampton,Manchester United,1,1,Draw,3,4,8,1,3,5,12,7,0,36%,2,0,2,291,201,69%,4,7,15,4,11,4,10,7,2,64%,3,0,3,520,415,80%,0,0,0.0,5.0,15.0,0.0,0.0,5.0,-5.0,15.0,25.0,5.0,5.0,0.0,0.0,25.0
710566,2021-08-22 15:30:00+00:00,P. Tierney,Emirates Stadium,London,Arsenal,Chelsea,0,2,Away Win,3,2,6,1,3,3,10,9,5,35%,3,0,3,335,266,79%,5,6,22,11,15,7,4,8,0,65%,0,0,3,646,574,89%,0,0,0.0,0.0,10.0,0.0,0.0,5.0,-5.0,15.0,15.0,0.0,5.0,0.0,0.0,22.5
