Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Home expected_goals,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
1035037,2023-08-11 19:00:00+00:00,C. Pawson,Turf Moor,Burnley,Burnley,Manchester City,0,3,Away Win,1,3,6,2,5,1,11,6,0,34%,0,1,5,365,290,79%,0.33,8,4,17,5,14,3,8,5,1,66%,0,0,1,706,634,90%,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035038,2023-08-12 11:30:00+00:00,M. Oliver,Emirates Stadium,London,Arsenal,Nottingham Forest,2,1,Home Win,7,3,15,5,8,7,12,8,2,78%,2,0,1,769,693,90%,0.83,2,3,6,1,4,2,12,3,1,22%,2,0,5,200,137,69%,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035039,2023-08-12 14:00:00+00:00,P. Bankes,Vitality Stadium,"Bournemouth, Dorset",Bournemouth,West Ham,1,1,Draw,5,6,14,3,5,9,9,10,0,63%,1,0,1,517,423,82%,1.37,3,9,16,4,12,4,14,4,2,37%,4,0,4,304,206,68%,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035041,2023-08-12 14:00:00+00:00,S. Attwell,Goodison Park,Liverpool,Everton,Fulham,0,1,Away Win,9,6,19,4,14,5,12,10,6,41%,0,0,1,366,288,79%,2.73,2,6,9,1,6,3,6,4,3,59%,2,0,9,556,470,85%,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035040,2023-08-12 14:00:00+00:00,D. Coote,The American Express Community Stadium,"Falmer, East Sussex",Brighton,Luton,4,1,Home Win,12,10,27,5,20,7,11,6,2,71%,2,0,2,605,551,91%,4.01,3,4,9,2,7,2,12,7,3,29%,2,0,8,234,168,72%,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035042,2023-08-12 14:00:00+00:00,J. Brooks,Bramall Lane,Sheffield,Sheffield Utd,Crystal Palace,0,1,Away Win,1,4,8,3,4,4,18,5,2,32%,3,0,7,262,162,62%,0.51,8,8,24,8,17,7,11,5,2,68%,0,0,1,562,466,83%,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035043,2023-08-12 16:30:00+00:00,A. Madley,St. James' Park,Newcastle upon Tyne,Newcastle,Aston Villa,5,1,Home Win,13,2,17,2,14,3,12,6,2,53%,4,0,5,502,428,85%,3.41,6,7,16,3,12,4,17,5,0,47%,4,0,7,447,382,85%,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035044,2023-08-13 13:00:00+00:00,R. Jones,Gtech Community Stadium,"Brentford, Middlesex",Brentford,Tottenham,2,2,Draw,6,2,11,3,9,2,12,3,1,30%,1,0,4,306,235,77%,2.22,6,6,18,6,12,6,13,6,0,70%,4,0,4,711,638,90%,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035045,2023-08-13 15:30:00+00:00,A. Taylor,Stamford Bridge,London,Chelsea,Liverpool,1,1,Draw,4,4,10,2,9,1,5,4,3,65%,3,0,0,698,610,87%,1.35,1,7,13,5,8,5,13,4,5,35%,3,0,4,377,301,80%,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035046,2023-08-14 19:00:00+00:00,S. Hooper,Old Trafford,Manchester,Manchester United,Wolves,1,0,Home Win,3,4,15,8,12,3,15,8,1,51%,2,0,6,465,383,82%,2.21,6,7,23,10,17,6,10,7,3,49%,3,0,2,439,355,81%,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035053,2023-08-18 18:45:00+00:00,P. Bankes,The City Ground,"Nottingham, Nottinghamshire",Nottingham Forest,Sheffield Utd,2,1,Home Win,4,7,16,5,9,7,5,6,3,50%,2,0,2,436,343,79%,1.39,3,3,7,1,4,3,9,7,2,50%,3,0,2,437,328,75%,0.5,0.0,5.0,10.0,0.0,0.0,5.0,-2.5,0.0,0.0,5.0,0.0,0.0,5.0,-2.5
